date,provider,service,region,environment,team,usage,unit_cost,cost,month,is_weekend,is_anomaly
2025-06-01,GCP,Compute,ca-central-1,prod,Ops,12.057,0.12,1.45,2025-06,True,False
2025-06-01,Azure,Compute,us-west-2,prod,Data,20.057,0.12,2.41,2025-06,True,False
2025-06-01,AWS,Storage,us-west-2,prod,Web,2.612,23.0,60.07,2025-06,True,False
2025-06-01,AWS,Compute,us-east-1,prod,Data,27.904,0.12,3.35,2025-06,True,False
2025-06-01,GCP,Compute,us-east-1,prod,Data,12.794,0.12,1.54,2025-06,True,False
2025-06-01,GCP,Compute,ca-central-1,prod,Data,12.194,0.12,1.46,2025-06,True,False
2025-06-01,AWS,Storage,ca-central-1,prod,Web,4.931,23.0,113.41,2025-06,True,False
2025-06-01,Azure,Storage,ca-central-1,prod,Mobile,2.498,23.0,57.46,2025-06,True,False
2025-06-01,GCP,Compute,ca-central-1,prod,Mobile,11.354,0.12,1.36,2025-06,True,False
2025-06-01,GCP,Network,ca-central-1,dev,Data,72.376,0.0009,0.07,2025-06,True,False
2025-06-01,AWS,Storage,ca-central-1,dev,Mobile,1.962,23.0,45.13,2025-06,True,False
2025-06-01,GCP,Storage,ca-central-1,dev,Data,1.971,23.0,45.32,2025-06,True,False
2025-06-01,Azure,Compute,us-west-2,dev,Ops,4.405,0.12,0.53,2025-06,True,False
2025-06-01,Azure,Storage,us-east-1,dev,Mobile,2.038,23.0,46.87,2025-06,True,False
2025-06-01,AWS,Compute,ca-central-1,dev,Web,6.453,0.12,0.77,2025-06,True,False
2025-06-01,Azure,Storage,us-west-2,dev,Ops,1.393,23.0,32.05,2025-06,True,False
2025-06-01,AWS,Database,us-east-1,dev,Data,2.063,0.35,0.72,2025-06,True,False
2025-06-01,AWS,Storage,ca-central-1,test,Mobile,1.057,23.0,24.3,2025-06,True,False
2025-06-01,GCP,AI,us-east-1,test,Data,1.024,0.9,0.92,2025-06,True,False
2025-06-01,Azure,Compute,us-west-2,test,Mobile,1.989,0.12,0.24,2025-06,True,False
2025-06-01,GCP,Database,us-west-2,test,Ops,2.914,0.35,1.02,2025-06,True,False
2025-06-01,Azure,Network,ca-central-1,test,Data,29.084,0.0009,0.03,2025-06,True,False
2025-06-01,AWS,Storage,us-west-2,test,Data,0.611,23.0,14.04,2025-06,True,False
2025-06-01,Azure,Database,us-east-1,test,Ops,3.17,0.35,1.11,2025-06,True,False
2025-06-02,AWS,Database,us-west-2,prod,Mobile,6.784,0.35,2.37,2025-06,False,False
2025-06-02,GCP,AI,us-east-1,prod,Web,0.0,0.9,0.0,2025-06,False,False
2025-06-02,Azure,Compute,ca-central-1,prod,Web,24.296,0.12,2.92,2025-06,False,False
2025-06-02,Azure,Compute,ca-central-1,prod,Ops,15.501,0.12,1.86,2025-06,False,False
2025-06-02,AWS,AI,us-east-1,prod,Data,2.515,0.9,2.26,2025-06,False,False
2025-06-02,AWS,Storage,us-west-2,prod,Mobile,3.787,23.0,87.1,2025-06,False,False
2025-06-02,GCP,Network,us-west-2,prod,Mobile,20.935,0.0009,0.02,2025-06,False,False
2025-06-02,AWS,Compute,us-east-1,prod,Ops,21.213,0.12,2.55,2025-06,False,False
2025-06-02,AWS,Compute,ca-central-1,prod,Web,5.614,0.12,0.67,2025-06,False,False
2025-06-02,GCP,Database,ca-central-1,dev,Ops,3.007,0.35,1.05,2025-06,False,False
2025-06-02,AWS,Compute,us-east-1,dev,Data,10.238,0.12,1.23,2025-06,False,False
2025-06-02,AWS,Compute,us-east-1,dev,Mobile,8.361,0.12,1.0,2025-06,False,False
2025-06-02,Azure,Database,us-west-2,dev,Data,1.103,0.35,0.39,2025-06,False,False
2025-06-02,Azure,Network,us-west-2,dev,Ops,12.469,0.0009,0.01,2025-06,False,False
2025-06-02,GCP,Compute,ca-central-1,dev,Ops,5.113,0.12,0.61,2025-06,False,False
2025-06-02,AWS,Compute,ca-central-1,dev,Data,5.95,0.12,0.71,2025-06,False,False
